2025-02-24 00:03:46 status unpacked libreadline8:amd64 8.2-1.3
2025-02-24 00:03:46 status half-configured libreadline8:amd64 8.2-1.3
2025-02-24 00:03:46 status installed libreadline8:amd64 8.2-1.3
2025-02-24 00:03:46 configure libldap-2.5-0:amd64 2.5.13+dfsg-5 <none>
2025-02-24 00:03:46 status unpacked libldap-2.5-0:amd64 2.5.13+dfsg-5
2025-02-24 00:03:46 status half-configured libldap-2.5-0:amd64 2.5.13+dfsg-5
2025-02-24 00:03:46 status installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2025-02-24 00:03:46 configure ca-certificates:all 20230311 <none>
2025-02-24 00:03:46 status unpacked ca-certificates:all 20230311
2025-02-24 00:03:46 status half-configured ca-certificates:all 20230311
2025-02-24 00:03:51 status installed ca-certificates:all 20230311
2025-02-24 00:03:51 status triggers-pending ca-certificates:all 20230311
2025-02-24 00:03:51 configure libgssapi-krb5-2:amd64 1.20.1-2+deb12u2 <none>
2025-02-24 00:03:51 status unpacked libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2025-02-24 00:03:51 status half-configured libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2025-02-24 00:03:51 status installed libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2025-02-24 00:03:51 configure libcurl3-gnutls:amd64 7.88.1-10+deb12u8 <none>
2025-02-24 00:03:51 status unpacked libcurl3-gnutls:amd64 7.88.1-10+deb12u8
2025-02-24 00:03:51 status half-configured libcurl3-gnutls:amd64 7.88.1-10+deb12u8
2025-02-24 00:03:51 status installed libcurl3-gnutls:amd64 7.88.1-10+deb12u8
2025-02-24 00:03:51 configure gnupg1:amd64 1.4.23-1.1+b1 <none>
2025-02-24 00:03:51 status unpacked gnupg1:amd64 1.4.23-1.1+b1
2025-02-24 00:03:51 status half-configured gnupg1:amd64 1.4.23-1.1+b1
2025-02-24 00:03:51 status installed gnupg1:amd64 1.4.23-1.1+b1
2025-02-24 00:03:51 trigproc libc-bin:amd64 2.36-9+deb12u9 <none>
2025-02-24 00:03:51 status half-configured libc-bin:amd64 2.36-9+deb12u9
2025-02-24 00:03:51 status installed libc-bin:amd64 2.36-9+deb12u9
2025-02-24 00:03:51 trigproc ca-certificates:all 20230311 <none>
2025-02-24 00:03:51 status half-configured ca-certificates:all 20230311
2025-02-24 00:03:54 status installed ca-certificates:all 20230311
2025-02-24 00:03:57 startup packages remove
